bil_uuid	name	description	organization_name	lab_name	project_funder_id	project_funder	data_path	submission_status	validation_status																								
	/bil/data/89/35/89350ee864e915a9/0539071074	629426				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070968	629427				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071832	629428				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071825	623657				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070954	629425				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070992	629423				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070940	623659				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071826	616878				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071837	622123				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071259	615691				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071219	616884				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071552	616885				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071239	615688				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071846	615687				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071169	616881				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071337	571073				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070554	623000				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071753	623655				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071050	623001				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071848	629429				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539072007	571077				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071815	624059				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071000	622128				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071765	624060				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071813	624061				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071729	620453				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071829	623653				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071070	623005				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071795	620452				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071849	622958				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070964	622133				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071157	617533				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070952	622134				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071544	616115				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539070986	622132				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
	/bil/data/89/35/89350ee864e915a9/0539071771	620454				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
																																	
	localid	species	ncbitaxonomy	age	ageunit	sex	genotype	organlocalid	organname	samplelocalid	atlas	locations																					
	622958	Mouse	NCBI:txid10090	58	Days	Male	Ai193(TICL-EGFP-ICF-tdT)-hyg/wt	1166509598	Brain	539071849																							
	622133	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1160288825	Brain	539070964																							
	617533	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1157572896	Brain	539071157																							
	622134	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1160288908	Brain	539070952																							
	616115	Mouse	NCBI:txid10090	67	Days	Female	Ai224(TICL-NLS-EGFP-ICF-NLS-dT)-hyg/wt	1157577395	Brain	539071544																							
	622132	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1160530458	Brain	539070986																							
	629427	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171866282	Brain	539070968																							
	629428	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171866718	Brain	539071832																							
	623657	Mouse	NCBI:txid10090	60	Days	Male	wt/wt	1168071175	Brain	539071825																							
	629425	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171866118	Brain	539070954																							
	629423	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171864789	Brain	539070992																							
	623659	Mouse	NCBI:txid10090	60	Days	Female	wt/wt	1168071242	Brain	539070940																							
	616878	Mouse	NCBI:txid10090	59	Days	Male	wt/wt	1156632791	Brain	539071826																							
	622123	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1160080688	Brain	539071837																							
	615691	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1154490505	Brain	539071259																							
	616884	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1156626736	Brain	539071219																							
	616885	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1156627350	Brain	539071552																							
	615688	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1154489968	Brain	539071239																							
	615687	Mouse	NCBI:txid10090	58	Days	Male	wt/wt	1154489894	Brain	539071846																							
	616881	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1156624384	Brain	539071169																							
	571073	Mouse	NCBI:txid10090	58	Days	Male	wt/wt	1093149043	Brain	539071337																							
	623000	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1167829862	Brain	539070554																							
	623655	Mouse	NCBI:txid10090	60	Days	Male	wt/wt	1168071101	Brain	539071753																							
	623001	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1167830009	Brain	539071050																							
	629429	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171866791	Brain	539071848																							
	571077	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1093149263	Brain	539072007																							
	624059	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1163554386	Brain	539071815																							
	622128	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1160529989	Brain	539071000																							
	622130	Mouse	NCBI:txid10090	59	Days	Female	wt/wt	1160530180	Brain	539071844																							
	629426	Mouse	NCBI:txid10090	57	Days	Female	wt/wt	1171866190	Brain	539071074																							
	624060	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1163554435	Brain	539071765																							
	624061	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1163554602	Brain	539071813																							
	620453	Mouse	NCBI:txid10090	61	Days	Male	wt/wt	1162714543	Brain	539071729																							
	623653	Mouse	NCBI:txid10090	60	Days	Male	wt/wt	1168070999	Brain	539071829																							
	623005	Mouse	NCBI:txid10090	58	Days	Female	wt/wt	1167831327	Brain	539071070																							
	620452	Mouse	NCBI:txid10090	61	Days	Male	wt/wt	1162714402	Brain	539071795																							
	620454	Mouse	NCBI:txid10090	61	Days	Male	wt/wt	1162714872	Brain	539071771																							
																																	
	xaxis	obliquexdim1	obliquexdim2	obliquexdim3	yaxis	obliqueydim1	obliqueydim2	obliqueydim3	zaxis	obliquezdim1	obliquezdim2	obliquezdim3	landmarkname	landmarkx	landmarky	landmarkz	number	displaycolor	representation	flurophore	stepsizex	stepsizey	stepsizez	stepsizet	channels	slices	z	xsize	ysize	zsize	gbytes	files	dimensionorder
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
	left-to-right				superior-to-inferior				posterior-to-anterior								"1,2,3,red,green,blue"	"(1.0,0.0,0.0),(0.0,1.0,0.0),(0.0,0.0,1.0)"	neurite	CH1(background fluorescence)  CH2(GFP) CH3(background fluorescence)	0.35	0.35	100		3	140	1	40000	30000	1			
