Sample ID,Sample Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Metadata Submission,Comments
H1930004_CX46_CaB_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,CaB,cell nucleus,7725,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX52_Pro_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,Pro,cell nucleus,6377,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX47_GPe_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,GPe,cell nucleus,7382,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX48_Sub_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,Sub,cell nucleus,7130,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930002_CX52_Pul_003_ATAC_2,cell nucleus,human,NCBI:txid9606,H19.30.002,brain section set,,42,male,,epigenomics,ATAC-seq,Pul,cell nucleus,6336,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX46_SEP_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,SEP,cell nucleus,6949,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX47_BNST_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,BNST,cell nucleus,7084,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
CEMBA210225_12J,brain region,mouse,NCBI:txid10090,CEMBA210225_12J,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNr+TRN+PG,nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210304_12J,brain region,mouse,NCBI:txid10090,CEMBA210304_12J,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNr+TRN+PG,nuclei,1531,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210311_13E,brain region,mouse,NCBI:txid10090,CEMBA210311_13E,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNr,nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210318_13E,brain region,mouse,NCBI:txid10090,CEMBA210318_13E,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNr,nuclei,1505,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210311_13F,brain region,mouse,NCBI:txid10090,CEMBA210311_13F,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNc+SOC+POR,nuclei,1533,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210318_13F,brain region,mouse,NCBI:txid10090,CEMBA210318_13F,brain region,,,,wt/wt,epigenomics,mC-seq2,PRNc+SOC+POR,nuclei,1528,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210325_14A,brain region,mouse,NCBI:txid10090,CEMBA210325_14A,brain region,,,,wt/wt,epigenomics,mC-seq2,IC,nuclei,1146,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210401_14A,brain region,mouse,NCBI:txid10090,CEMBA210401_14A,brain region,,,,wt/wt,epigenomics,mC-seq2,IC,nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210325_14D,brain region,mouse,NCBI:txid10090,CEMBA210325_14D,brain region,,,,wt/wt,epigenomics,mC-seq2,(PRNc+P5+V+PSV+PARN),nuclei,1524,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210401_14D,brain region,mouse,NCBI:txid10090,CEMBA210401_14D,brain region,,,,wt/wt,epigenomics,mC-seq2,(PRNc+P5+V+PSV+PARN),nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210408_15C,brain region,mouse,NCBI:txid10090,CEMBA210408_15C,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+SPVO+MV),nuclei,1523,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-02,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210415_15C,brain region,mouse,NCBI:txid10090,CEMBA210415_15C,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+SPVO+MV),nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-03,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210805_15B,brain region,mouse,NCBI:txid10090,CEMBA210805_15B,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,1535,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-04,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210810_15B,brain region,mouse,NCBI:txid10090,CEMBA210810_15B,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,1531,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-05,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210805_16A,brain region,mouse,NCBI:txid10090,CEMBA210805_16A,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-06,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210810_16A,brain region,mouse,NCBI:txid10090,CEMBA210810_16A,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,1528,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-07,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210408_16C,brain region,mouse,NCBI:txid10090,CEMBA210408_16C,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+SPVO+MV),nuclei,1536,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-08,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210415_16C,brain region,mouse,NCBI:txid10090,CEMBA210415_16C,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+SPVO+MV),nuclei,1534,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-09,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210810_17A,brain region,mouse,NCBI:txid10090,CEMBA210810_17A,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,3045,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-10,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210812_17A,brain region,mouse,NCBI:txid10090,CEMBA210812_17A,brain region,,,,wt/wt,epigenomics,mC-seq2,CBX,nuclei,3007,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-11,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210422_17B,brain region,mouse,NCBI:txid10090,CEMBA210422_17B,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+PARN+SPV),nuclei,1536,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-12,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210429_17B,brain region,mouse,NCBI:txid10090,CEMBA210429_17B,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+PARN+SPV),nuclei,1536,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-13,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210422_18B,brain region,mouse,NCBI:txid10090,CEMBA210422_18B,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+PARN+SPV),nuclei,1532,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-14,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210429_18B,brain region,mouse,NCBI:txid10090,CEMBA210429_18B,brain region,,,,wt/wt,epigenomics,mC-seq2,MY (GRN+IRN+PARN+SPV),nuclei,1533,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-15,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/u19_cemba/ecker/epigenome/,2022Q2,
CEMBA210114_10J,brain region,mouse,NCBI:txid10090,CEMBA210114_10J,brain region,,,,wt/wt,epigenomics,ATAC-seq,VTA+SN,nuclei,12956,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210121_10J,brain region,mouse,NCBI:txid10090,CEMBA210121_10J,brain region,,,,wt/wt,epigenomics,ATAC-seq,VTA+SN,nuclei,12636,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210128_11G,brain region,mouse,NCBI:txid10090,CEMBA210128_11G,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,12704,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210128_11J,brain region,mouse,NCBI:txid10090,CEMBA210128_11J,brain region,,,,wt/wt,epigenomics,ATAC-seq,VTA+SN,nuclei,12800,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210204_11G,brain region,mouse,NCBI:txid10090,CEMBA210204_11G,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,13367,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210204_11J,brain region,mouse,NCBI:txid10090,CEMBA210204_11J,brain region,,,,wt/wt,epigenomics,ATAC-seq,VTA+SN,nuclei,13621,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210211_12F,brain region,mouse,NCBI:txid10090,CEMBA210211_12F,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,12681,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210211_12G,brain region,mouse,NCBI:txid10090,CEMBA210211_12G,brain region,,,,wt/wt,epigenomics,ATAC-seq,PAG+MEV+Su3,nuclei,12790,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210218_12F,brain region,mouse,NCBI:txid10090,CEMBA210218_12F,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,12504,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210218_12G,brain region,mouse,NCBI:txid10090,CEMBA210218_12G,brain region,,,,wt/wt,epigenomics,ATAC-seq,PAG+MEV+Su3,nuclei,12791,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210225_12J,brain region,mouse,NCBI:txid10090,CEMBA210225_12J,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNr+TRN+PG,nuclei,12519,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210225_13C,brain region,mouse,NCBI:txid10090,CEMBA210225_13C,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,13006,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210304_12J,brain region,mouse,NCBI:txid10090,CEMBA210304_12J,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNr+TRN+PG,nuclei,12388,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210304_13C,brain region,mouse,NCBI:txid10090,CEMBA210304_13C,brain region,,,,wt/wt,epigenomics,ATAC-seq,SC,nuclei,12638,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210311_13E,brain region,mouse,NCBI:txid10090,CEMBA210311_13E,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNr,nuclei,12388,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210311_13F,brain region,mouse,NCBI:txid10090,CEMBA210311_13F,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNc+SOC+POR,nuclei,12588,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210318_13E,brain region,mouse,NCBI:txid10090,CEMBA210318_13E,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNr,nuclei,11211,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210318_13F,brain region,mouse,NCBI:txid10090,CEMBA210318_13F,brain region,,,,wt/wt,epigenomics,ATAC-seq,PRNc+SOC+POR,nuclei,11827,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210325_14A,brain region,mouse,NCBI:txid10090,CEMBA210325_14A,brain region,,,,wt/wt,epigenomics,ATAC-seq,IC,nuclei,12567,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210325_14D,brain region,mouse,NCBI:txid10090,CEMBA210325_14D,brain region,,,,wt/wt,epigenomics,ATAC-seq,(PRNc+P5+V+PSV+PARN),nuclei,12505,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210401_14A,brain region,mouse,NCBI:txid10090,CEMBA210401_14A,brain region,,,,wt/wt,epigenomics,ATAC-seq,IC,nuclei,12077,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210401_14D,brain region,mouse,NCBI:txid10090,CEMBA210401_14D,brain region,,,,wt/wt,epigenomics,ATAC-seq,(PRNc+P5+V+PSV+PARN),nuclei,12261,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210408_15C,brain region,mouse,NCBI:txid10090,CEMBA210408_15C,brain region,,,,wt/wt,epigenomics,ATAC-seq,MY (GRN+IRN+SPVO+MV),nuclei,12401,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
CEMBA210408_16C,brain region,mouse,NCBI:txid10090,CEMBA210408_16C,brain region,,,,wt/wt,epigenomics,ATAC-seq,MY (GRN+IRN+SPVO+MV),nuclei,12539,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,2022Q2,
